4101220421,邓道霖,计算机4班,10,65,75
4101220424,李贤生,计算机4班,61,65,53
4101220448,黎奇贤,计算机4班,73,45,51
4101220101,张三,计算机4班,78,82,90
4101220102,李四,计算机4班,65,70,75
4101220103,王五,计算机4班,88,95,92
4101220104,赵六,计算机4班,72,68,80
4101220105,刘七,计算机4班,55,60,63
4101220106,陈八,计算机4班,91,88,85
4101220107,郑九,计算机4班,77,79,81
4101220108,孙十,计算机4班,84,90,88
4101220109,杨十一,计算机4班,68,72,70
4101220110,吴十二,计算机4班,75,78,79
4101220111,周十三,计算机4班,60,65,68
4101220112,朱十四,计算机4班,87,92,89
4101220113,曾十五,计算机4班,73,76,74
4101220114,陆十六,计算机4班,79,85,82
4101220115,任十七,计算机4班,62,68,65
4101220116,钟十八,计算机4班,84,89,87
4101220117,何十九,计算机4班,66,71,77
4101220118,蔡二十,计算机4班,71,74,68
4101220119,丁二十一,计算机4班,55,58,60
4101220120,陆二十二,计算机4班,80,83,78
4101220121,杨二十三,计算机4班,76,79,75
4101220122,韩二十四,计算机4班,69,72,70
4101220123,康二十五,计算机4班,82,85,88
4101220124,马二十六,计算机4班,74,77,79
4101220125,许二十七,计算机4班,67,70,72
4101220126,尤二十八,计算机4班,83,88,86
4101220127,安二十九,计算机4班,78,82,80
4101220128,段三十,计算机4班,60,65,68
4101220129,黄三十一,计算机4班,86,89,84
4101220130,刘三十二,计算机4班,72,76,74
4101220131,梁三十三,计算机4班,75,78,79
4101220132,赖三十四,计算机4班,80,85,82
4101220133,孔三十五,计算机4班,64,69,70
4101220134,冯三十六,计算机4班,89,92,90
4101220135,傅三十七,计算机4班,77,80,78
4101220136,董三十八,计算机4班,71,75,73
4101220137,余三十九,计算机4班,68,72,70
4101220138,叶四十,计算机4班,83,88,86
4101220139,杜四十一,计算机4班,79,82,80
4101220140,严四十二,计算机4班,62,65,68
4101220141,潘四十三,计算机4班,87,90,88
4101220142,贾四十四,计算机4班,73,76,74
4101220143,江四十五,计算机4班,66,69,72
4101220144,管四十六,计算机4班,81,84,82
4101220145,魏四十七,计算机4班,75,78,79
4101220146,程四十八,计算机4班,70,73,76
4101220147,袁四十九,计算机4班,84,88,86
4101220148,柳五十,计算机4班,68,71,74
4101220149,史五十一,计算机4班,77,80,78
4101220150,阎五十二,计算机4班,82,85,88
4101220151,焦五十三,计算机4班,69,72,70
4101220152,谭五十四,计算机4班,74,77,79
4101220153,贺五十五,计算机4班,88,91,90
4101220154,顾五十六,计算机4班,72,75,78
4101220155,毛五十七,计算机4班,65,68,70
4101220156,郝五十八,计算机4班,80,83,85
4101220157,龙五十九,计算机4班,76,79,81
4101220158,夏六十,计算机4班,63,66,68
